id,code,name,account_type,type_currency,status,balance,date_modification,date_creation,changed,quantitative,subject_account,full_name,check_excess_balance,created_by
700133,0860,"Капитальные вложения в основные средства, полученные по договору долгосрочной аренды",Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0800. СЧЕТА УЧЕТА КАПИТАЛЬНЫХ ВЛОЖЕНИЙ,"0860. Капитальные вложения в основные средства, полученные по договору долгосрочной аренды",Да,System
700134,0890,Прочие капитальные вложения,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0800. СЧЕТА УЧЕТА КАПИТАЛЬНЫХ ВЛОЖЕНИЙ,0890. Прочие капитальные вложения,Да,System
700135,0910,Векселя полученные,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0900. СЧЕТА УЧЕТА ДОЛГОСРОЧНОЙ ДЕБИТОРСКОЙ ЗАДОЛЖЕННОСТИ И ОТСРОЧЕННЫХ РАСХОДОВ,0910. Векселя полученные,Да,System
700136,0920,Платежи к получению по долгосрочной аренде,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0900. СЧЕТА УЧЕТА ДОЛГОСРОЧНОЙ ДЕБИТОРСКОЙ ЗАДОЛЖЕННОСТИ И ОТСРОЧЕННЫХ РАСХОДОВ,0920. Платежи к получению по долгосрочной аренде,Да,System
700137,0930,Долгосрочная задолженность персонала,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0900. СЧЕТА УЧЕТА ДОЛГОСРОЧНОЙ ДЕБИТОРСКОЙ ЗАДОЛЖЕННОСТИ И ОТСРОЧЕННЫХ РАСХОДОВ,0930. Долгосрочная задолженность персонала,Да,System
700138,0940,Прочая долгосрочная дебиторская задолженность,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0900. СЧЕТА УЧЕТА ДОЛГОСРОЧНОЙ ДЕБИТОРСКОЙ ЗАДОЛЖЕННОСТИ И ОТСРОЧЕННЫХ РАСХОДОВ,0940. Прочая долгосрочная дебиторская задолженность,Да,System
700139,0950,Отсроченный налог на доход (прибыль) по временным разницам,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0900. СЧЕТА УЧЕТА ДОЛГОСРОЧНОЙ ДЕБИТОРСКОЙ ЗАДОЛЖЕННОСТИ И ОТСРОЧЕННЫХ РАСХОДОВ,0950. Отсроченный налог на доход (прибыль) по временным разницам,Да,System
700140,0960,Долгосрочные отсроченные расходы по дисконтам (скидкам),Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0900. СЧЕТА УЧЕТА ДОЛГОСРОЧНОЙ ДЕБИТОРСКОЙ ЗАДОЛЖЕННОСТИ И ОТСРОЧЕННЫХ РАСХОДОВ,0960. Долгосрочные отсроченные расходы по дисконтам (скидкам),Да,System
700141,0990,Прочие долгосрочные отсроченные расходы,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0900. СЧЕТА УЧЕТА ДОЛГОСРОЧНОЙ ДЕБИТОРСКОЙ ЗАДОЛЖЕННОСТИ И ОТСРОЧЕННЫХ РАСХОДОВ,0990. Прочие долгосрочные отсроченные расходы,Да,System
700142,1010,Сырье и материалы,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,1000. СЧЕТА УЧЕТА МАТЕРИАЛОВ,1010. Сырье и материалы,Да,System
700395,1011,Сырье и материалы в пути,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,1000. СЧЕТА УЧЕТА МАТЕРИАЛОВ,1011. Сырье и материалы в пути,Да,System
