order_id,type_return,cost_price
91914023,Возврат/Закупка,-113.12
91915697,Заказ,255.07
91918713,Заказ,131.46
91924448,Заказ,9673520
91930946,Заказ,1834840
91936611,Возврат/Закупка,-231000
91937053,Возврат/Закупка,-451600
91937450,Возврат/Закупка,-400308.6
91937938,Заказ,1347200
91954226,Заказ,199110.4
92239550,Заказ,116.04
92267466,Заказ,127.04
92300996,Заказ,341603.4
92304498,Заказ,108.32
92305270,Заказ,818706
92338689,Заказ,246.86
92348277,Заказ,121.6
92353880,Заказ,337615.9
92354840,Заказ,1318.4
92381561,Заказ,257.82
92381569,Заказ,2282142.98
92386832,Заказ,1963798
92392829,Заказ,130.82
92433417,Заказ,5753.6
92466285,Заказ,9088131
92479156,Заказ,29853054
92513845,Заказ,1868000
92526865,Заказ,5510000
92531370,Возврат/Закупка,
92537376,Заказ,931000
92540788,Заказ,5414689.15
92541883,Заказ,1320000
92542727,Заказ,4840000
92545475,Заказ,9805500
92548641,Заказ,3900000
92554657,Заказ,3300000
92555600,Заказ,10350144
92556227,Заказ,300
92637463,Заказ,1416.52
92686004,Заказ,108.32
92749686,Заказ,1256902
92750927,Возврат/Закупка,-1416.52
92754001,Возврат/Закупка,-1089500
92801610,Заказ,257.86
92801755,Заказ,130.82
92801917,Заказ,5923450
92817053,Возврат/Закупка,-19410318.13
92817749,Возврат/Закупка,-52772600
92818530,Возврат/Закупка,-4886995.04
92819026,Возврат/Закупка,-45000
92819552,Возврат/Закупка,-1017000
92821130,Возврат/Закупка,-166000
92822068,Возврат/Закупка,-17045025.86
92823265,Заказ,108000
92823768,Заказ,1424000
92902187,Заказ,130.72
92910710,Заказ,2921495.55
92910801,Заказ,2658347.15
92913226,Заказ,130.72
92930754,Заказ,6551496.3
92931523,Заказ,6585252.46
92933102,Заказ,6585252.46
92933877,Заказ,6585252.46
92935641,Заказ,6584552.46
92935840,Заказ,6582928.46
92936156,Заказ,6583928.06
92937096,Заказ,6584555.26
92937667,Заказ,6584555.26
92937968,Заказ,6601701.68
92941386,Возврат/Закупка,-16810765.55
92941562,Возврат/Закупка,-175000
92942011,Возврат/Закупка,-1063387
92943065,Возврат/Закупка,-3225600
92943377,Возврат/Закупка,-769300
92944403,Возврат/Закупка,-242670.08
92944989,Возврат/Закупка,-1872000
92945756,Возврат/Закупка,-704680.15
92945966,Возврат/Закупка,-393999
92946968,Возврат/Закупка,-425000
92947215,Возврат/Закупка,-496930.56
92947575,Возврат/Закупка,-409200
92947779,Возврат/Закупка,-356931
92969864,Заказ,8662935.95
92987663,Заказ,8630154.45
92988195,Заказ,8630134.42
93002245,Заказ,4961710.4
93042125,Заказ,906.29
93075099,Заказ,8150360
93075152,Заказ,14201880
93075212,Заказ,
93075241,Возврат/Закупка,-1723268.64
93075285,Заказ,
93075302,Заказ,
93075347,Заказ,
93075368,Заказ,
93075391,Заказ,
93075405,Заказ,
93075417,Заказ,
93075442,Заказ,
93075452,Заказ,
93075500,Заказ,
93075520,Заказ,
93075799,Заказ,
93076056,Заказ,
93076082,Заказ,35806000
93076413,Заказ,
93076587,Заказ,5719500
93076762,Заказ,2876.8
93076777,Заказ,5753.6
93076891,Заказ,742.4
93086301,Заказ,105380
93086373,Заказ,52540
93092227,Заказ,116.04
93092386,Заказ,120.12
93108088,Заказ,11161494.06
93124759,Заказ,
93149895,Заказ,1071.23
93154007,Заказ,345600
93155223,Заказ,134400
93207730,Возврат/Закупка,-341913.42
93208123,Заказ,400308.6
93213809,Заказ,572.32
93213992,Заказ,731185.18
93216812,Заказ,3424123.5
93217311,Заказ,3424123.5
93217791,Заказ,3424123.5
93218034,Заказ,3424123.5
93218258,Заказ,3195117.1
93219825,Заказ,11327617.23
93219863,Заказ,15754303.74
93220327,Заказ,4805169
93220377,Заказ,2.71
93222496,Заказ,2460100.44
93222524,Заказ,2663390.44
93222618,Заказ,2422339.44
93222749,Заказ,2407459.44
93222996,Заказ,2407459.44
93223358,Заказ,229006.4
93242675,Возврат/Закупка,-203290
93252977,Заказ,
93255548,Заказ,12572187.06
93255789,Заказ,4984000
93267181,Заказ,570.78
93267773,Заказ,577.53
93268170,Заказ,657.64
93269221,Заказ,575.38
93270075,Возврат/Закупка,-1
93284542,Заказ,3934494.7
93293693,Заказ,431065.6
93342011,Возврат/Закупка,-2920104
93346188,Заказ,2485963.8
93346753,Заказ,2854439.8
93347997,Заказ,2521735.4
93348135,Заказ,2523735.4
93361878,Заказ,5310152
93361892,Заказ,5300602
93361982,Заказ,5300602
93362054,Заказ,5300569.2
93362202,Заказ,5300552.8
93362306,Заказ,5300552.8
93362393,Заказ,5300552.8
93362485,Заказ,5310384.8
93362588,Заказ,5300552.8
93362852,Заказ,5847789.2
93364573,Заказ,419.92
93371026,Заказ,5458668.96
93371661,Заказ,246848
93372646,Заказ,246848
93381375,Заказ,421.25
93382059,Заказ,421.2
93391944,Заказ,5108000
93402950,Заказ,2054447.09
93404499,Заказ,384563.2
93437882,Заказ,4487007.04
93437905,Заказ,3339853.44
93438156,Заказ,3339853.44
93446414,Заказ,2073176
93446729,Заказ,2458570.24
93449015,Заказ,818432
93449333,Заказ,234696
93449360,Заказ,234696
93449471,Заказ,253471.68
93449996,Заказ,2219939.2
93450022,Заказ,2219939.2
93450132,Заказ,2219939.2
93450230,Заказ,2210551.36
93450347,Заказ,2210551.36
93451439,Заказ,3481141.29
93451466,Заказ,3351221.3
93451622,Заказ,3351221.29
93452756,Заказ,
93453025,Заказ,2400572.8
93453088,Заказ,2400572.8
93453202,Заказ,2400572.8
93453572,Заказ,2400572.8
93453722,Заказ,2400572.8
93454071,Заказ,2400572.8
93457225,Заказ,18283.2
93459075,Заказ,37244.8
93474237,Заказ,4371836.18
93477100,Заказ,4371836.18
93498318,Заказ,1177094.8
93501589,Заказ,8772000
93503137,Заказ,2394000
93503356,Заказ,2394000
93507191,Заказ,7525103.56
93507953,Заказ,
93508260,Заказ,58.73
93510165,Заказ,1237039.69
93510187,Заказ,788184.23
93511204,Заказ,1944481.19
93511229,Заказ,1157776
93511669,Заказ,1107139.48
93511728,Заказ,1507449.88
93511756,Заказ,2189096.39
93517739,Заказ,945134
93520424,Заказ,68657
93534357,Заказ,879.23
93537505,Заказ,964.54
93537838,Заказ,878.21
93538172,Заказ,126.64
93557023,Заказ,2199680
93569774,Заказ,15118150
93570305,Заказ,4165625.71
93570532,Заказ,1386116.28
93570787,Заказ,2883433.65
93570873,Заказ,2883433.65
93571060,Заказ,800620.8
93572588,Заказ,800620.8
93572768,Заказ,1201087.28
93573296,Заказ,3440543.08
93573304,Заказ,3440543.08
93573356,Заказ,3440543.08
93582364,Заказ,1067756.8
93582382,Заказ,1067756.8
93582442,Заказ,1067756.8
93582729,Заказ,1061184
93593517,Возврат/Закупка,-1859759
93593544,Заказ,
93594386,Заказ,2262145.85
93594392,Заказ,2215500
93595971,Заказ,9600
93622855,Заказ,77743.08
93622865,Заказ,77743.08
93622927,Заказ,77743.08
93624840,Заказ,1308000
93627121,Заказ,13504400
93628511,Заказ,14651380
93636529,Заказ,19100
93640777,Заказ,388715.38
93643233,Заказ,2332871.54
93645851,Заказ,7623225.53
93646339,Заказ,2010.38
93646388,Заказ,
93648723,Заказ,1420002.74
93650598,Заказ,15
93662570,Заказ,2371673.8
93680234,Заказ,674670.28
93680853,Заказ,451159.37
93690862,Заказ,12546000
93691830,Возврат/Закупка,-114631.8
93691953,Возврат/Закупка,-1481728
93692236,Возврат/Закупка,-133436.8
93692404,Возврат/Закупка,-24606.4
93692569,Возврат/Закупка,-800620.8
93693249,Возврат/Закупка,-164.2
93694201,Возврат/Закупка,-1477296
93694767,Возврат/Закупка,-292731.6
93695133,Возврат/Закупка,-233661
93695587,Возврат/Закупка,-118.86
93695710,Возврат/Закупка,-363628.16
93696544,Возврат/Закупка,-62194.48
93696670,Возврат/Закупка,-581925.12
93707220,Заказ,5156396.6
93715055,Заказ,2393580
93718415,Заказ,4006625.55
93725573,Заказ,1705244.91
93725697,Заказ,1348637.47
93725837,Заказ,515307.52
93752835,Заказ,88338
93791521,Заказ,2215500
93793601,Заказ,27050713.21
93798845,Заказ,7084369.73
93829574,Заказ,232200
93830788,Заказ,1529685.6
93831817,Заказ,17108808.9
93846097,Заказ,54133750
93846682,Заказ,278610.36
93847499,Заказ,262.26
93848187,Заказ,3128428
93854249,Заказ,1066466.36
93854598,Заказ,533233.18
93855493,Заказ,220305.18
93867777,Заказ,7784155
93867940,Заказ,18000000
93868993,Заказ,5689470.8
93870260,Заказ,6719553.03
93871018,Заказ,265226.91
93871024,Заказ,266165.08
93885094,Возврат/Закупка,-33.91
93885169,Возврат/Закупка,-29152.59
93885311,Возврат/Закупка,-47.15
93885341,Возврат/Закупка,-61836.9
93911320,Возврат/Закупка,-68270
93911978,Возврат/Закупка,-708404.58
93912982,Возврат/Закупка,-344585.8
93913318,Заказ,14922500
93927369,Заказ,983200
93939700,Возврат/Закупка,-330302.82
93939892,Возврат/Закупка,-162598.64
93940349,Возврат/Закупка,-56.6
93940402,Возврат/Закупка,-29881.6
93940475,Возврат/Закупка,-37462.16
93940789,Возврат/Закупка,-90.89
93961963,Заказ,14600000
93966927,Заказ,21038548.31
93971242,Возврат/Закупка,-3.12
93976493,Заказ,519680
93979851,Заказ,4229366.02
93996465,Заказ,1034235
94014779,Заказ,26270
94020538,Заказ,604548.07
94020751,Заказ,694806
94021021,Заказ,3128428
94021425,Заказ,
94041201,Заказ,12000000
94043073,Заказ,
94043590,Заказ,667184
94043803,Заказ,57000
94044752,Заказ,1201630.36
94045597,Заказ,262850
94046081,Возврат/Закупка,
94047417,Возврат/Закупка,-5719500
94049391,Заказ,17388
94055950,Заказ,18327481.98
94060533,Заказ,
94061282,Заказ,8984085.7
94065191,Заказ,8364593.94
94069265,Заказ,3265428
94073715,Заказ,3265428
94073728,Заказ,3265428
94073742,Заказ,163260.46
94073760,Заказ,412246.01
94105780,Заказ,360000
94109994,Заказ,1387.09
94112093,Возврат/Закупка,-8636000
94122449,Заказ,46808.38
94125507,Заказ,5254618.5
94126505,Заказ,5262875.42
94131911,Заказ,3772341.58
94134808,Заказ,3505169.14
94134965,Заказ,3505169.14
94138856,Заказ,667.23
94155973,Заказ,7845899.3
94179784,Заказ,127.14
94180082,Заказ,3473428
94185516,Заказ,299240
94187546,Заказ,26270
94191491,Заказ,364.98
94195236,Заказ,1430668.81
94201403,Заказ,2866864
94202305,Заказ,1
94227836,Заказ,3000856
94228952,Заказ,3128428
94284591,Заказ,38340000
94294723,Заказ,925000
94302417,Заказ,65675
94304587,Заказ,3639384
94319513,Заказ,140000
94342430,Заказ,869.57
94350760,Заказ,5132000
94353013,Заказ,477.14
94353275,Заказ,
94353848,Возврат/Закупка,-388579.88
94353948,Возврат/Закупка,-100000
94354304,Возврат/Закупка,-113394.8
94354458,Возврат/Закупка,-1099840
94354716,Возврат/Закупка,-97491.36
94365379,Заказ,220177.25
94367656,Заказ,6378641
94369220,Заказ,2495759.52
96066838,Заказ,2769.47
96067473,Заказ,1190.82
96068227,Заказ,3364760
96081098,Заказ,157000
96105318,Заказ,67677.5
96110802,Заказ,7417966.77
96126895,Заказ,1554042.3
96129729,Заказ,4099385.61
96129913,Возврат/Закупка,-1
96129917,Заказ,254.07
96159789,Заказ,
96188916,Заказ,4300085
96189688,Заказ,22720000
96196565,Заказ,8481635.38
96211380,Заказ,846720
96211395,Возврат/Закупка,-846738.83
96212302,Заказ,4596704
96212304,Заказ,4596704
96213248,Заказ,256945
96217669,Заказ,233220.72
96606321,Заказ,999079.2
96616280,Возврат/Закупка,-644000
96620378,Заказ,5969880
96629331,Заказ,1077600
96648439,Заказ,2696533.86
96649584,Заказ,262700
96649744,Заказ,126.54
96650031,Заказ,952660
96650156,Заказ,107.89
96652576,Заказ,248800
96670869,Заказ,126.54
96705561,Заказ,
96708843,Заказ,29786574.71
96709462,Возврат/Закупка,-328888.96
96711186,Возврат/Закупка,-6011013.12
96712302,Заказ,13159.65
96712719,Заказ,3381194.88
96713258,Заказ,19371427.38
96713346,Заказ,2629818.24
96714935,Возврат/Закупка,-1028602.16
96715423,Заказ,18737290
96722628,Заказ,121.12
96732363,Заказ,19413342.32
96732422,Заказ,7366102.32
96732448,Заказ,3578695.18
96739695,Возврат/Закупка,-3263619.64
96739752,Возврат/Закупка,-103672
96740193,Заказ,1099840
96742388,Заказ,120.88
96742752,Заказ,2532517.4
96747186,Заказ,2199680
96775973,Заказ,925000
96791004,Заказ,70000
96803854,Заказ,57104982.82
96827951,Заказ,802.42
96837878,Заказ,52540
96846476,Возврат/Закупка,-230966.4
96846611,Заказ,230966.4
96846667,Возврат/Закупка,-1099840
96862763,Заказ,344000
96890490,Заказ,12640000
96891084,Заказ,270000
96893117,Заказ,774800
96897234,Заказ,2748200
96897833,Заказ,1220800
96901775,Заказ,18659925.34
96902217,Заказ,15482097
96902727,Заказ,5068000
96919258,Заказ,112.58
96922803,Заказ,35619440
96923654,Заказ,7109.58
96924006,Заказ,2369.86
96926128,Заказ,9539.44
96926227,Заказ,1332.45
96947263,Заказ,370468.28
96953072,Заказ,3810000
96989662,Заказ,9754650
96995555,Заказ,120957660
96996886,Заказ,5396.09
96997486,Заказ,3346205.41
96998028,Заказ,1359459.04
97004381,Заказ,2185170.88
97005193,Заказ,2011215.48
97005451,Заказ,26.14
97018540,Возврат/Закупка,-121.6
97049933,Заказ,9610802.52
97081923,Заказ,11878272
97081936,Заказ,130.2
97086025,Заказ,20738028.8
97086273,Заказ,1424260
97137550,Заказ,1016260
97162017,Заказ,10112500
97179250,Заказ,3705000
97180812,Заказ,15040000
97181032,Заказ,13195114.24
97181976,Заказ,700
97183071,Заказ,11117.4
97183150,Заказ,20060271.77
97183540,Заказ,16191303.99
97183581,Заказ,142240
97185430,Возврат/Закупка,-569542.72
97185479,Возврат/Закупка,-247093.78
97185505,Возврат/Закупка,-89909.18
97185513,Возврат/Закупка,-22086.4
97185531,Возврат/Закупка,-990662.4
97185551,Возврат/Закупка,-295790.64
97185580,Возврат/Закупка,-209617.56
97185616,Возврат/Закупка,-1706034.35
97185671,Возврат/Закупка,-1827447.92
97185697,Возврат/Закупка,-1150479.32
97185716,Возврат/Закупка,-137517.41
97185782,Возврат/Закупка,-321.35
97185796,Возврат/Закупка,-428824
97185810,Возврат/Закупка,-440610.36
97185885,Возврат/Закупка,-146.2
97186043,Возврат/Закупка,-3461676.29
97186097,Возврат/Закупка,-29040
97186593,Возврат/Закупка,-257968
97187178,Заказ,12744681.73
97188197,Заказ,211190165
97196992,Заказ,3052240
97198826,Заказ,
97199468,Заказ,3052240
97200335,Заказ,2910000
97201525,Заказ,600000
97211738,Заказ,53623037.01
97214011,Заказ,40124481.41
97214771,Заказ,54925690.41
97215440,Заказ,28185560.65
97219332,Заказ,34767619.01
97219555,Возврат/Закупка,-2547771.35
97219729,Возврат/Закупка,-1015000
97220043,Возврат/Закупка,-101907.69
97220109,Заказ,40098220.03
97220345,Возврат/Закупка,-226240
97220464,Возврат/Закупка,-1762050
97221486,Заказ,18307720.39
97221889,Заказ,1092900
97224254,Заказ,25607564.57
97224893,Заказ,10025853.78
97226796,Заказ,4619328
97226869,Заказ,11878272
97227368,Заказ,801.25
97227784,Заказ,8636000
97237868,Заказ,17986006.59
97238822,Заказ,17944951.82
97240165,Заказ,2360608
97240959,Заказ,28658664.81
97243541,Заказ,26515345.64
97243969,Заказ,39696933.53
97244091,Заказ,21688448.16
97245066,Заказ,18229384.95
97246399,Заказ,70426187.97
97247034,Заказ,117000
97247749,Заказ,683200
97307718,Заказ,32746521.19
97309423,Заказ,116.77
97310131,Заказ,27125214.82
97328306,Заказ,5114279.04
97328659,Заказ,764.47
97342658,Заказ,1039580
97348177,Заказ,8779185
97348381,Заказ,2310000
97369230,Заказ,344000
97369937,Заказ,172000
97371676,Заказ,76560
97372164,Заказ,357550.16
97376582,Заказ,16647644.83
97385582,Заказ,134400
97386340,Возврат/Закупка,-78500
97388791,Заказ,14053534.08
97395124,Заказ,60800
97395186,Заказ,47820
97395607,Заказ,1564366.4
97396967,Заказ,1933759.02
97405176,Заказ,8144481.62
97405266,Заказ,8028289.85
97405287,Заказ,11290060.36
97410580,Заказ,402765
97418556,Заказ,3529300
97420682,Заказ,35082
97461963,Заказ,844800
97466769,Заказ,764.47
97467705,Заказ,13847914.91
97471579,Заказ,7188778
97471741,Заказ,7209.96
97487976,Заказ,2284.32
97488716,Заказ,5638755.04
97488846,Возврат/Закупка,-2310000
97497096,Заказ,2369.86
97538254,Заказ,711.87
97549921,Заказ,43557205.6
97558514,Заказ,2581264
97568324,Заказ,674
97574735,Заказ,305760
97578252,Заказ,1024800
97579998,Заказ,56.29
97589054,Заказ,152.89
97589832,Заказ,60478830
97595214,Заказ,3134.33
97595328,Заказ,60478830
97602228,Заказ,1120000
97605905,Заказ,126.44
97609342,Заказ,702038400
97617283,Заказ,2369.86
97628101,Заказ,1631.51
97637392,Заказ,1605.39
97649007,Заказ,2585.78
97661315,Заказ,8423204
97661412,Заказ,268080
97663867,Возврат/Закупка,-7620000
97663958,Заказ,5353970
97673104,Заказ,922691.63
97696288,Заказ,700.8
97696299,Заказ,2352
97700468,Заказ,4415254.35
97700813,Заказ,76876
97701693,Заказ,3024626.8
97715345,Заказ,191400
97723834,Заказ,116610.36
97724492,Заказ,2664000
97724632,Заказ,12998000
97724753,Заказ,6868000
97724925,Заказ,1315748
97725270,Заказ,1101210.71
97725722,Возврат/Закупка,
97725879,Возврат/Закупка,-1704000
97726097,Возврат/Закупка,-4373600
97726172,Возврат/Закупка,-688761.92
97726341,Возврат/Закупка,-1801453
97726404,Возврат/Закупка,-105000
97726473,Возврат/Закупка,-172000
97740279,Заказ,126.44
97743403,Заказ,881400
97744901,Заказ,820000
97745218,Заказ,8779185
97748936,Заказ,11049616
97749286,Заказ,74685004.84
97753953,Заказ,1250
97757425,Заказ,19934758.61
97767409,Возврат/Закупка,-885780
97767707,Возврат/Закупка,-3027973.06
97767932,Возврат/Закупка,-2356680
97768207,Возврат/Закупка,-115000
97768274,Возврат/Закупка,-185785.16
97768800,Возврат/Закупка,-31290
97769224,Заказ,579180
97774209,Заказ,261211670
97799763,Заказ,203817600
97804100,Заказ,252.88
97804980,Заказ,126.44
97805799,Заказ,72520842.89
97815679,Заказ,2758108.58
97815682,Заказ,2923084.58
97815989,Заказ,10780
97817180,Заказ,909700
97817274,Заказ,909700
97822696,Возврат/Закупка,-3810000
97823455,Заказ,3175.88
97826456,Заказ,1118768
97828262,Заказ,5461962.29
97829197,Заказ,606000
97836335,Возврат/Закупка,
97836579,Заказ,
97860540,Заказ,6351840
97868655,Заказ,434919.84
97876746,Заказ,23754734.62
97899033,Заказ,850.49
97905832,Заказ,6192640
97905975,Заказ,18207970.07
97927507,Заказ,9443264.39
97928894,Заказ,1892803.13
97939015,Возврат/Закупка,-1004318.38
